"DELIVERY_CUSTOMER","IFSAPP.CUST_ORD_CUSTOMER_API.GET_NAME(DELIVERY_CUSTOMER)","INVOICE_ID","SERIES_ID","INVOICE_NO","ITEM_ID","CATALOG_NO","DESCRIPTION","CONTRACT","IFSAPP.SALES_PART_API.GET_SALES_PART_REBATE_GROUP(CONTRACT,CATALOG_NO)","INVOICED_QTY","SALE_UM","NULL","PRICE_UM","DECODE(ORDER_NO,NULL,SALE_UNIT_PRICE*(CURR_RATE/DIV_FACTOR),DECODE(CHARGE_GROUP,NULL,NVL(SALE_UNIT_PRICE*(CURR_RATE/DIV_FACTOR),","INVOICE_DATE","NET_DOM_AMOUNT","IFSAPP.COMPANY_FINANCE_API.GET_CURRENCY_CODE(COMPANY)","IFSAPP.CUSTOMER_ORDER_INV_ITEM_API.GET_CONDITION_CODE(COMPANY,INVOICE_ID,ITEM_ID)","IFSAPP.CONDITION_CODE_API.GET_DESCRIPTION(IFSAPP.CUSTOMER_ORDER_INV_ITEM_API.GET_CONDITION_CODE(COMPANY,INVOICE_ID,ITEM_ID))","ORDER_NO","IFSAPP.CUSTOMER_ORDER_API.GET_AGREEMENT_ID(ORDER_NO)","IFSAPP.CUST_ORD_CUSTOMER_API.GET_CUST_GRP(DELIVERY_CUSTOMER)","CATALOG_GROUP","DECODE(LINE_NO,NULL,(DECODE(ORDER_NO,NULL,IFSAPP.CUST_ORD_CUSTOMER_ADDRESS_API.GET_REGION_CODE(DELIVERY_CUSTOMER,IFSAPP.RETURN_M","DECODE(LINE_NO,NULL,(DECODE(ORDER_NO,NULL,IFSAPP.CUST_ORD_CUSTOMER_ADDRESS_API.GET_DISTRICT_CODE(DELIVERY_CUSTOMER,IFSAPP.RETURN","DECODE(ORDER_NO,NULL,IFSAPP.CUST_ORD_CUSTOMER_API.GET_MARKET_CODE(DELIVERY_CUSTOMER),IFSAPP.CUSTOMER_ORDER_API.GET_MARKET_CODE(O","DECODE(LINE_NO,NULL,(DECODE(ORDER_NO,NULL,IFSAPP.CUSTOMER_INFO_ADDRESS_API.GET_COUNTRY_CODE(DELIVERY_CUSTOMER,IFSAPP.RETURN_MATE","DECODE(ORDER_NO,NULL,IFSAPP.CUST_ORD_CUSTOMER_API.GET_SALESMAN_CODE(DELIVERY_CUSTOMER),IFSAPP.CUSTOMER_ORDER_API.GET_SALESMAN_CO","DECODE(ORDER_NO,NULL,IFSAPP.RETURN_MATERIAL_API.GET_RETURN_APPROVER_ID(RMA_NO),IFSAPP.CUSTOMER_ORDER_API.GET_AUTHORIZE_CODE(ORDE","IFSAPP.CUSTOMER_ORDER_LINE_API.GET_PRICE_LIST_NO(ORDER_NO,LINE_NO,RELEASE_NO,LINE_ITEM_NO)","PARTY","PARTY_TYPE","IDENTITY","IFSAPP.CUST_ORD_CUSTOMER_API.GET_NAME(IDENTITY)","PRICE_ADJUSTMENT","COMPANY","PRICE_CONV"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","1","PBL141","Belcid Suspension 240ml","GSH1N","","60","BOT","","BOT","423.08","7/1/2026","25384.8","LKR","","","C238074","","PVTHOS","BL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","2","TIL05","Bifilac Cap's (10's)","GSH1N","","60","PACKS","","PACKS","1162.021","7/1/2026","69721.26","LKR","","","C238074","","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","3","TIL02","Bifilac Granules (sachets) (15's)","GSH1N","","20","PACKS","","PACKS","2091.731","7/1/2026","41834.62","LKR","","","C238074","","PVTHOS","TIL HEALTH","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","4","PBL153","Caltamin D Tabs-60's","GSH1N","","5","PACKS","","PACKS","3094.66","7/1/2026","15473.3","LKR","","","C238074","","PVTHOS","BL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","5","PUL137","CeeZinc Syrup 120ml (1's)","GSH1N","","3","BOT","","BOT","994.195","7/1/2026","2982.59","LKR","","","C238074","","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","6","PUN216","Cilacar Tab's 10mg (30's)","GSH1N","","50","PACKS","","PACKS","1589.74","7/1/2026","79487","LKR","","","C238074","","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","7","PUN215","Cilacar Tab's 5mg (30's)","GSH1N","","60","PACKS","","PACKS","1226.5","7/1/2026","73590","LKR","","","C238074","","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","8","PUN128","Dicloran Gel 20gm","GSH1N","","20","TUB","","TUB","393.16","7/1/2026","7863.2","LKR","","","C238074","","PVTHOS","ARR U (A)","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","9","PUL101","Enervon-C Film Cap 30's","GSH1N","","10","BOT","","BOT","1975","7/1/2026","19750","LKR","","","C238074","","PVTHOS","UL SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
"PHA423","Asiri Hospital Holdings PLC","859354","INV","288770","10","MEN02","Fastum Gel 2.5% 10g","GSH1N","","36","TUB","","TUB","412.8","7/1/2026","14860.8","LKR","","","C238074","","PVTHOS","MEN - SALE","","","PVT HOS","LK","","GEMABE050","INST NEW","","Customer","PHA423","Asiri Hospital Holdings PLC","FALSE","GSH1","1"
